Casa,Data_Nasc,Ano_Nasc,Age,Age_group,Sexo,Rede,PIN,Cartao recolhido?,Onde_foi,Observacoes
361,NA,1999,5,2,m,s,f0001,NA,,
922,NA,1961,44,7,f,n,f0001,s,,
225,NA,1958,46,7,m,s,f0002,s,,
701,NA,1952,43,7,f,n,f0004,s,,
3002,NA,1957,47,7,f,s,f0005,NA,,
3110,NA,1960,44,7,f,n,f0008,s,,
503,NA,1989,15,4,m,n,f0013,s,,
1435,NA,1999,5,2,m,n,f0016,s,,
33,NA,1959,45,7,f,n,f0025,s,,
1351,NA,1999,5,2,f,n,f0028,s,,
4047,NA,1998,6,3,f,n,f0031,NA,,
936,NA,1921,74,7,f,n,f0036,s,,
678,NA,1963,42,7,f,s,f0038,s,,
3067,NA,1979,25,6,f,n,f0039,s,,
665,NA,1942,63,7,m,s,f0039,s,,
628,NA,1963,42,7,m,s,f0041,s,,
897,NA,2002,3,2,m,n,f0042,s,,
516,NA,2002,2,1,f,n,f0044,s,,
361,NA,1963,42,7,f,s,f0045,NA,,
370,NA,2000,4,2,m,n,f0046,s,,
337,NA,1994,11,4,m,n,f0047,s,,
815,NA,1988,16,5,m,n,f0049,s,,
342,NA,1989,15,4,f,n,f0063,s,,
370,NA,1960,44,7,f,n,f0065,s,,
1346,NA,1995,10,3,f,n,f0068,s,,
680,NA,1982,23,6,f,s,f0068,s,,
358,NA,1941,54,7,f,n,f0071,s,,
325,NA,1999,5,2,m,n,f0074,s,,
961,NA,2001,4,2,m,n,f0085,NA,,
1153,NA,1989,15,4,f,s,f0085,s,,
3028,NA,2000,4,2,f,n,f0092,s,,
454,NA,1997,7,3,m,n,f0109,s,,
717,NA,1997,7,3,f,n,f0110,s,,
716,NA,1967,37,7,f,n,f0111,s,,
717,NA,1977,27,6,f,n,f0112,s,,
3038,NA,1999,5,2,f,n,f0114,s,,
1301,NA,1989,15,4,f,n,f0117,s,,
39,NA,1921,74,7,f,n,f0119,s,,
667,NA,1952,43,7,f,n,f0123,s,,
1183,NA,1942,53,7,f,n,f0133,NA,,
412,NA,1994,11,4,m,n,f0137,s,,
210,NA,1970,34,7,f,s,f0137,NA,,
210,NA,1998,6,3,f,s,f0140,NA,,
210,NA,1993,12,4,f,s,f0143,NA,,
210,NA,1994,11,4,f,s,f0146,NA,,
500,NA,1950,44,7,f,n,f0147,s,,
1322,NA,1981,24,6,m,s,f0159,s,,
648,NA,1952,43,7,f,s,f0161,s,,
894,NA,1998,6,3,f,n,f0166,s,,
894,NA,1955,40,7,f,n,f0167,s,,
814,NA,2000,4,2,m,n,f0170,s,,
961,NA,1998,6,3,f,n,f0174,NA,,
562,NA,1942,63,7,m,n,f0174,s,,
549,NA,1941,64,7,m,n,f0176,s,,
370,NA,1993,12,4,f,n,f0183,s,,
25,NA,1961,44,7,m,s,f0199,s,,
2,NA,1979,25,6,f,s,f0201,p,,
301,NA,1996,9,3,f,n,F0202,p,,
473,NA,1999,5,2,m,n,f0203,s,,
278,NA,1961,44,7,f,n,f0203,p,,
278,NA,2001,3,2,f,n,f0204,p,,
494,NA,1966,39,7,f,s,f0204,s,,
278,NA,1999,5,2,f,n,f0205,s,,
279,NA,1974,29,6,f,n,f0205,n,,
383,NA,1987,17,5,m,n,f0208,s,,
1550,NA,1939,66,7,m,n,f0208,NA,,
567,NA,1993,12,4,f,n,f0211,s,,
161,NA,1988,16,5,f,n,f0215,s,,
289,NA,1958,46,7,f,n,f0219,NA,,
920,NA,1985,20,5,f,n,f0221,s,,
3087,NA,2001,4,2,m,n,f0226,n,,
26,NA,1943,52,7,f,s,f0234,s,,
335,NA,1998,6,3,m,n,f0237,s,,
960,NA,1989,15,4,m,n,f0245,s,,
223,NA,1994,11,4,f,n,f0248,s,,
1153,NA,1948,46,7,f,s,f0255,s,,
946,NA,1987,17,5,f,n,f0259,s,,
291,NA,1982,23,6,f,n,f0259,s,,
134,NA,1993,12,4,m,n,f0262,s,,
1403,NA,2000,4,2,m,s,f0266,s,,
1155,NA,2001,4,2,m,n,f0299,s,,
400,NA,1947,58,7,m,n,f0300,s,,
400,NA,1955,40,7,f,n,f0301,s,,
400,NA,1959,45,7,f,n,f0302,s,,
400,NA,1983,22,6,f,n,f0303,s,,
400,NA,1984,20,5,f,n,f0304,s,,
400,NA,2000,4,2,f,n,f0310,s,,
379,NA,1988,16,5,m,n,f0316,s,,
134,NA,1991,14,4,m,n,f0318,s,,
3020,NA,1940,54,7,f,s,f0318,s,,
409,NA,1956,49,7,f,n,f0324,s,,
108,NA,1992,13,4,f,n,f0325,s,,
1001,NA,1962,43,7,m,n,f0325,s,,
1001,NA,1988,16,5,m,n,f0326,s,,
1001,NA,1992,13,4,m,n,f0327,s,,
108,NA,1996,9,3,f,n,f0328,s,,
1001,NA,1994,11,4,f,n,f0328,s,,
312,NA,1966,39,7,m,n,f0330,s,,
412,NA,1986,19,5,f,n,f0331,s,,
412,NA,1997,7,3,m,n,f0332,s,,
1,NA,1952,43,7,f,n,f0336,s,,
223,NA,1982,23,6,f,s,f0337,s,,
30,NA,1969,35,7,f,n,f0350,s,,
207,NA,1997,7,3,m,s,f0352,s,,
30,NA,1994,11,4,m,n,f0352,s,,
1322,NA,1981,24,6,f,s,f0361,s,,
423,NA,1982,23,6,f,s,f0364,s,,
112,NA,1995,10,3,m,n,f0365,s,,
423,NA,1982,23,6,f,s,f0365,s,,
423,NA,1986,19,5,f,n,f0366,s,,
134,NA,1998,6,3,m,n,f0367,s,,
426,NA,1992,13,4,f,n,f0367,s,,
134,NA,1998,6,3,m,n,f0368,s,,
425,NA,1997,7,3,m,n,f0369,s,,
425,NA,1989,15,4,m,n,f0371,s,,
425,NA,1991,14,4,m,n,f0372,s,,
429,NA,1969,35,7,m,s,f0377,s,,
429,NA,1969,35,7,f,s,f0378,s,,
429,NA,2001,3,2,f,n,f0379,s,,
206,NA,1920,84,7,m,n,f0379,s,,
128,NA,1939,55,7,f,s,f0380,s,,
430,NA,1993,12,4,m,n,f0381,s,,
430,NA,1993,12,4,m,n,f0382,s,,
431,NA,1949,56,7,m,s,f0383,s,,
351,NA,1986,19,5,m,n,f0387,s,,
916,NA,1931,74,7,m,n,f0388,s,,
895,NA,1958,46,7,f,n,f0391,s,,
896,NA,1991,14,4,m,n,f0392,s,,
442,NA,1954,41,7,f,n,f0395,s,,
903,NA,1949,56,7,m,n,f0396,s,,
447,NA,1947,47,7,f,n,f0403,s,,
448,NA,1988,16,5,f,n,f0404,s,,
450,NA,1942,53,7,f,n,f0405,s,,
452,NA,1985,20,5,m,n,f0409,s,,
140,NA,1953,42,7,f,n,f0409,s,,
450,NA,1996,9,3,m,n,f0410,s,,
453,NA,1966,39,7,m,n,f0411,s,,
454,NA,1966,39,7,m,s,f0411,s,,
453,NA,1972,33,7,f,n,f0412,s,,
454,NA,1990,14,4,f,n,f0413,s,,
453,NA,1991,14,4,f,n,f0414,s,,
453,NA,1994,11,4,m,n,f0415,s,,
453,NA,1997,7,3,m,n,f0416,s,,
453,NA,1999,5,2,m,n,f0417,s,,
935,NA,1964,41,7,m,s,f0419,s,,
935,NA,1970,34,7,f,s,f0420,s,,
455,NA,1992,13,4,m,n,f0421,s,,
935,NA,1996,9,3,f,n,f0422,s,,
455,NA,1997,7,3,m,n,f0423,s,,
935,NA,2001,3,2,f,s,f0424,s,,
36,NA,1974,29,6,m,s,f0426,s,,
392,NA,1993,12,4,m,n,f0428,s,,
497,NA,1995,10,3,f,n,f0433,s,,
497,NA,1997,7,3,f,n,f0434,s,,
462,NA,1922,83,7,m,n,f0437,s,,
462,NA,1960,44,7,f,n,f0438,s,,
361,NA,1944,61,7,m,s,f0440,NA,,
937,NA,1998,6,3,m,n,f0443,s,,
470,NA,1951,54,7,m,s,f0453,s,,
470,NA,1955,40,7,f,s,f0454,s,,
470,NA,1984,21,5,m,s,f0455,s,,
470,NA,1995,10,3,f,n,f0457,s,,
470,NA,1992,13,4,f,n,f0458,s,,
893,NA,1978,26,6,m,s,f0459,s,,
893,NA,1982,23,6,f,s,f0460,s,,
893,NA,2001,3,2,f,n,f0461,s,,
910,NA,1945,50,7,f,s,f0462,s,,
473,NA,1946,59,7,m,n,f0464,s,,
473,NA,1973,32,7,f,n,f0465,s,,
473,NA,1993,12,4,f,n,f0466,s,,
473,NA,1994,11,4,m,n,f0467,s,,
473,NA,1988,16,5,f,n,f0468,s,,
473,NA,1996,9,3,m,n,f0469,s,,
478,NA,1944,61,7,m,n,f0481,s,,
478,NA,1947,47,7,f,n,f0482,s,,
478,NA,1997,7,3,m,n,f0484,s,,
480,NA,1958,46,7,m,s,f0486,s,,
480,NA,1972,33,7,f,s,f0487,s,,
480,NA,1994,11,4,m,n,f0488,s,,
480,NA,1997,7,3,m,n,f0489,s,,
480,NA,1999,5,2,f,s,f0490,s,,
481,NA,2003,2,1,f,n,f0495,s,,
481,NA,1982,23,6,f,n,f0495,s,,
481,NA,1990,14,4,f,n,f0496,s,,
481,NA,1989,15,4,f,n,f0497,s,,
483,NA,1960,44,7,f,n,f0501,s,,
483,NA,1997,7,3,f,n,f0502,s,,
489,NA,1986,19,5,f,n,f0503,s,,
485,NA,1989,15,4,m,n,f0506,s,,
486,NA,1972,33,7,m,n,f0507,s,,
3118,NA,1971,34,7,f,n,f0508,s,,
3118,NA,1997,7,3,f,n,f0509,s,,
491,NA,1936,59,7,f,s,f0509,s,,
487,NA,1968,36,7,m,n,f0510,s,,
488,NA,1964,41,7,m,n,f0511,s,,
488,NA,1969,35,7,f,n,f0512,s,,
489,NA,1996,9,3,m,n,f0514,n,,
489,NA,1995,10,3,f,n,f0514,n,,
490,NA,1935,70,7,m,s,f0515,s,,
490,NA,1941,54,7,f,s,f0516,s,,
490,NA,1993,12,4,m,n,f0517,s,,
491,NA,1933,72,7,m,s,f0518,s,,
909,NA,1997,7,3,f,s,f0520,s,,
912,NA,1984,21,5,m,n,f0521,s,,
912,NA,1998,6,3,m,n,f0522,s,,
909,NA,1982,23,6,f,s,f0523,s,,
912,NA,1990,14,4,m,n,f0525,s,,
497,NA,1952,53,7,m,n,f0529,s,,
497,NA,1963,42,7,f,n,f0530,s,,
497,NA,1987,17,5,m,n,f0531,s,,
497,NA,1991,14,4,m,n,f0532,s,,
497,NA,2001,3,2,f,n,f0535,s,,
498,NA,1919,86,7,m,n,f0536,s,,
498,NA,1929,65,7,f,n,f0537,s,,
500,NA,1948,57,7,m,n,f0540,s,,
501,NA,1983,22,6,f,n,f0541,s,,
503,NA,1994,11,4,m,n,f0542,s,,
504,NA,1944,51,7,f,n,f0544,s,,
1446,NA,1989,15,4,f,s,f0549,n,,
927,NA,1988,16,5,m,n,f0549,s,,
509,NA,1949,45,7,f,n,f0550,s,,
509,NA,1999,5,2,f,n,f0551,s,,
509,NA,1995,10,3,m,n,f0552,s,,
926,NA,1975,30,6,f,s,f0554,s,,
926,NA,1995,10,3,f,n,f0555,s,,
511,NA,1982,23,6,m,n,f0556,s,,
511,NA,1978,26,6,f,n,f0557,s,,
509,NA,1998,6,3,f,n,f0559,s,,
514,NA,1957,47,7,m,s,f0560,s,,
514,NA,1958,46,7,f,s,f0561,s,,
515,NA,1985,20,5,m,n,f0562,s,,
516,NA,1982,23,6,f,n,f0564,s,,
517,NA,1984,21,5,m,n,f0566,s,,
518,NA,1969,35,7,m,s,f0567,s,,
518,NA,1999,5,2,m,s,f0570,s,,
519,NA,1989,15,4,f,n,f0571,s,,
521,NA,1945,60,7,m,n,f0574,s,,
521,NA,1946,49,7,f,n,f0575,s,,
522,NA,1985,20,5,m,n,f0581,s,,
521,NA,1977,27,6,f,s,f0582,s,,
954,NA,1968,36,7,m,n,f0589,s,,
954,NA,1981,24,6,f,n,f0590,s,,
526,NA,1990,14,4,m,n,f0591,s,,
530,NA,1972,33,7,m,s,f0598,s,,
930,NA,1972,33,7,m,s,f0598,s,,
530,NA,1976,29,6,f,s,f0599,s,,
530,NA,1998,6,3,m,s,f0600,s,,
530,NA,2000,4,2,f,s,f0601,s,,
532,NA,1994,11,4,f,n,f0605,s,,
532,NA,1977,27,6,m,n,f0606,s,,
532,NA,1983,22,6,f,n,f0607,s,,
532,NA,2000,4,2,m,n,f0608,s,,
535,NA,1953,52,7,m,n,f0615,s,,
535,NA,1955,40,7,f,n,f0616,s,,
537,NA,1982,23,6,m,n,f0618,s,,
535,NA,1992,13,4,m,n,f0621,s,,
538,NA,1951,54,7,m,s,f0622,s,,
538,NA,1958,46,7,f,s,f0623,s,,
538,NA,1992,13,4,m,n,f0624,s,,
539,NA,1983,22,6,m,n,f0626,s,,
539,NA,1996,9,3,f,n,f0627,s,,
540,NA,1947,58,7,m,s,f0628,s,,
540,NA,1947,47,7,f,s,f0629,s,,
630,NA,1990,14,4,f,n,f0630,s,,
876,NA,1981,24,6,m,s,f0630,s,,
541,NA,1989,15,4,m,s,f0631,NA,,
542,NA,2000,4,2,m,n,f0634,NA,,
543,NA,1964,40,7,m,s,f0635,s,,
543,NA,1989,15,4,f,s,f0636,s,,
543,NA,1997,7,3,m,n,f0637,s,,
543,NA,2000,4,2,m,n,f0638,s,,
544,NA,1934,61,7,f,n,f0638,NA,,
3071,NA,1953,42,7,f,n,f0640,s,,
545,NA,1989,15,4,m,n,f0641,s,,
546,NA,1960,44,7,m,n,f0642,s,,
546,NA,1967,37,7,f,n,f0643,s,,
546,NA,2000,4,2,f,n,f0644,s,,
548,NA,1990,14,4,f,n,f0646,s,,
548,NA,1993,12,4,f,n,f0647,s,,
546,NA,2000,4,2,m,n,f0648,s,,
981,NA,1985,20,5,m,n,f0649,s,,
981,NA,1988,16,5,m,n,f0650,s,,
546,NA,1996,9,3,m,n,f0651,s,,
552,NA,1926,79,7,m,s,f0663,NA,,
552,NA,1930,64,7,f,s,f0664,NA,,
930,NA,1980,24,6,f,s,f0665,s,,
554,NA,1935,60,7,f,n,f0667,s,,
3069,NA,1994,11,4,f,n,f0668,s,,
3070,NA,1971,34,7,m,n,f0670,s,,
3070,NA,1969,35,7,f,n,f0671,s,,
555,NA,1981,24,6,m,n,f0673,s,,
562,NA,1948,46,7,f,n,f0682,s,,
562,NA,1973,32,7,m,n,f0683,s,,
562,NA,1977,27,6,f,n,f0684,s,,
562,NA,1979,25,6,f,n,f0685,s,,
562,NA,1982,23,6,m,n,f0686,s,,
562,NA,1984,20,5,f,n,f0687,s,,
562,NA,1986,19,5,f,n,f0688,s,,
562,NA,1995,10,3,f,n,f0690,s,,
563,NA,1923,82,7,m,n,f0692,s,,
563,NA,1944,51,7,f,n,f0693,s,,
564,NA,1975,30,6,f,n,f0697,s,,
565,NA,1988,16,5,f,n,f0698,s,,
565,NA,1983,22,6,f,n,f0699,s,,
565,NA,1996,9,3,f,s,f0700,s,,
564,NA,2001,3,2,f,n,f0701,s,,
940,NA,1972,33,7,f,n,f0702,s,,
940,NA,1995,10,3,f,n,f0703,s,,
940,NA,1999,5,2,m,n,f0704,s,,
567,NA,1945,60,7,m,s,f0708,NA,,
567,NA,1952,43,7,f,s,f0709,NA,,
567,NA,1963,42,7,f,n,f0710,s,,
567,NA,1995,10,3,f,n,f0713,s,,
567,NA,2000,4,2,m,n,f0714,s,,
567,NA,1992,13,4,f,n,f0715,s,,
567,NA,1993,12,4,f,n,f0716,s,,
568,NA,1979,25,6,m,n,f0718,s,,
3066,NA,1988,16,5,m,n,f0720,s,,
570,NA,1980,24,6,m,s,f0722,s,,
571,NA,1950,44,7,f,n,f0723,s,,
571,NA,1979,25,6,f,n,f0724,s,,
3090,NA,1989,15,4,m,n,f0725,s,,
3090,NA,1994,11,4,m,n,f0726,s,,
573,NA,1979,25,6,f,s,f0727,s,,
571,NA,1998,6,3,f,n,f0728,s,,
573,NA,1977,27,6,m,s,f0729,s,,
3090,NA,1987,17,5,m,n,f0730,s,,
575,NA,1943,62,7,m,s,f0731,s,,
575,NA,1958,46,7,f,s,f0732,s,,
575,NA,1992,13,4,f,n,f0733,s,,
576,NA,1992,13,4,m,n,f0734,s,,
583,NA,1941,64,7,m,s,f0745,s,,
583,NA,1950,44,7,f,s,f0746,s,,
583,NA,1990,14,4,f,s,f0747,s,,
585,NA,1979,25,6,f,n,f0751,s,,
585,NA,2001,3,2,f,n,f0752,s,,
590,NA,1946,49,7,f,n,f0764,s,,
592,NA,1931,74,7,m,n,f0769,s,,
592,NA,1948,46,7,f,n,f0770,s,,
3074,NA,1988,16,5,m,n,f0771,s,,
593,NA,1952,43,7,f,n,f0772,s,,
594,NA,1970,34,7,f,n,f0774,s,,
594,NA,1994,11,4,m,n,f0776,s,,
594,NA,1996,9,3,f,n,f0777,s,,
594,NA,2000,4,2,m,n,f0778,s,,
595,NA,1948,57,7,m,s,f0779,s,,
595,NA,1952,43,7,f,s,f0780,s,,
3082,NA,1978,26,6,f,n,f0782,s,,
602,NA,1959,45,7,f,s,f0782,s,,
3075,NA,1998,6,3,m,n,f0783,s,,
602,NA,1995,10,3,f,n,f0784,s,,
3075,NA,1993,12,4,m,n,f0784,s,,
599,NA,1987,17,5,f,n,f0786,s,,
3079,NA,1957,47,7,m,s,f0787,s,,
3079,NA,1967,37,7,f,s,f0788,s,,
3080,NA,1988,16,5,f,n,f0790,s,,
602,NA,1931,74,7,m,s,f0791,s,,
602,NA,1993,12,4,f,n,f0793,s,,
3095,NA,1987,17,5,m,n,f0795,s,,
3095,NA,1998,6,3,m,n,f0796,s,,
604,NA,1952,43,7,f,n,f0797,s,,
3094,NA,1980,24,6,m,n,f0798,s,,
3076,NA,1981,24,6,m,n,f0803,s,,
607,NA,1993,12,4,f,n,f0804,s,,
608,NA,1943,52,7,f,n,f0805,s,,
620,NA,1962,43,7,f,n,f0825,s,,
620,NA,1992,13,4,f,n,f0827,s,,
620,NA,1996,9,3,f,n,f0828,s,,
620,NA,1998,6,3,m,n,f0829,s,,
621,NA,1973,32,7,f,s,f0831,s,,
621,NA,1988,16,5,f,s,f0832,s,,
983,NA,1949,45,7,f,n,f0835,s,,
900,NA,1967,37,7,f,n,f0839,s,,
626,NA,1974,29,6,m,s,f0840,s,,
626,NA,1973,32,7,f,s,f0841,s,,
626,NA,1997,7,3,m,n,f0842,s,,
629,NA,1992,13,4,m,n,f0846,s,,
629,NA,1995,10,3,m,n,f0847,s,,
630,NA,1996,9,3,f,n,f0849,s,,
629,NA,1999,5,2,m,n,f0850,s,,
631,NA,1949,56,7,m,n,f0851,s,,
631,NA,1992,13,4,f,n,f0854,s,,
634,NA,1970,34,7,m,s,f0857,s,,
3026,NA,1961,44,7,f,n,f0864,s,,
642,NA,1930,64,7,f,n,f0878,s,,
642,NA,1994,11,4,f,n,f0880,s,,
643,NA,1978,26,6,f,s,f0883,s,,
643,NA,2001,4,2,m,n,f0884,s,,
648,NA,1939,66,7,m,s,f0891,s,,
649,NA,1990,14,4,m,n,f0892,s,,
649,NA,1994,11,4,m,n,f0893,s,,
652,NA,1945,60,7,m,n,f0895,s,,
653,NA,1958,46,7,m,s,f0897,s,,
653,NA,1979,25,6,f,s,f0898,s,,
653,NA,1990,14,4,m,n,f0901,s,,
653,NA,1993,12,4,f,n,f0902,s,,
653,NA,1997,7,3,f,n,f0904,s,,
653,NA,2002,3,2,m,n,f0905,s,,
657,NA,1965,40,7,f,n,f0916,s,,
984,NA,1945,50,7,f,n,f0918,s,,
664,NA,1978,26,6,m,s,f0926,s,,
664,NA,1979,25,6,f,s,f0927,s,,
664,NA,1999,5,2,f,n,f0928,s,,
665,NA,1974,29,6,f,s,f0929,s,,
665,NA,1998,6,3,m,n,f0930,s,,
665,NA,1997,7,3,f,n,f0931,s,,
666,NA,1985,20,5,m,s,f0932,s,,
666,NA,1990,14,4,m,s,f0933,s,,
667,NA,1932,73,7,m,n,f0934,s,,
667,NA,1995,10,3,f,n,f0935,s,,
667,NA,1995,10,3,m,n,f0936,s,,
3037,NA,1926,69,7,f,n,f0937,s,,
668,NA,1988,16,5,m,n,f0938,s,,
669,NA,1971,34,7,m,n,f0939,s,,
3054,NA,1949,45,7,f,n,f0943,s,,
671,NA,1998,6,3,m,n,f0944,s,,
672,NA,1995,10,3,m,n,f0947,s,,
675,NA,1944,61,7,m,s,f0951,s,,
675,NA,1979,25,6,f,s,f0952,s,,
675,NA,1994,11,4,f,n,f0953,s,,
676,NA,1980,24,6,m,s,f0954,s,,
677,NA,1983,22,6,f,n,f0955,s,,
677,NA,1987,17,5,f,n,f0956,s,,
677,NA,1993,12,4,m,n,f0957,s,,
677,NA,1993,12,4,m,n,f0958,s,,
677,NA,1997,7,3,m,n,f0959,s,,
679,NA,1946,49,7,f,n,f0960,s,,
681,NA,1936,69,7,m,n,f0962,s,,
683,NA,1951,44,7,f,n,f0967,s,,
685,NA,1949,56,7,m,n,f0971,s,,
687,NA,1979,25,6,m,n,f0975,s,,
996,NA,1985,20,5,f,n,f0976,s,,
679,NA,1983,22,6,m,n,f0977,s,,
3008,NA,1933,62,7,f,n,f0979,s,,
691,NA,1971,34,7,m,n,f0980,s,,
692,NA,1975,30,6,m,n,f0981,s,,
693,NA,1961,44,7,f,n,f0982,s,,
3007,NA,1960,44,7,m,s,f0983,s,,
694,NA,1987,17,5,f,n,f0985,s,,
694,NA,1990,14,4,m,n,f0986,s,,
694,NA,1994,11,4,m,n,f0987,s,,
3002,NA,1939,66,7,m,s,f0988,NA,,
3000,NA,1982,23,6,f,s,f0989,s,,
699,NA,1987,17,5,f,n,f0990,s,,
699,NA,1994,11,4,f,n,f0991,s,,
3003,NA,1975,30,6,m,s,f0993,s,,
3005,NA,1985,20,5,m,NA,f0994,s,,
3004,NA,1990,14,4,m,s,f0995,NA,,
3006,NA,1982,23,6,m,s,f0996,s,,
701,NA,1942,63,7,m,n,f0997,s,,
703,NA,1979,25,6,m,n,f1001,s,,
952,NA,1981,24,6,m,n,f1003,s,,
705,NA,1954,51,7,m,n,f1004,s,,
705,NA,1963,42,7,f,n,f1005,s,,
997,NA,1998,6,3,m,n,f1007,s,,
708,NA,1945,60,7,m,n,f1016,s,,
711,NA,1975,30,6,f,n,f1021,s,,
711,NA,2000,4,2,f,n,f1022,s,,
947,NA,1990,14,4,m,n,f1022,s,,
883,NA,1940,54,7,f,n,f1025,s,,
948,NA,1958,46,7,f,n,f1026,NA,,
948,NA,1988,16,5,m,n,f1028,NA,,
884,NA,1958,46,7,m,n,f1029,p,,
884,NA,1958,46,7,f,n,f1030,s,,
884,NA,1996,9,3,f,n,f1031,s,,
717,NA,1974,29,6,m,n,f1032,s,,
886,NA,1940,54,7,f,n,f1034,s,,
886,NA,1997,7,3,m,n,f1036,s,,
3034,NA,1950,44,7,f,n,f1044,s,,
3033,NA,1956,49,7,f,n,f1045,s,,
3034,NA,1989,15,4,f,n,f1046,s,,
3033,NA,1992,13,4,f,n,f1047,s,,
3033,NA,1996,9,3,m,n,f1049,s,,
3035,NA,1985,20,5,m,n,f1049,s,,
725,NA,1976,29,6,m,n,f1050,s,,
725,NA,1999,5,2,m,n,f1052,s,,
973,NA,1944,51,7,f,n,f1054,s,,
974,NA,1974,29,6,f,n,f1055,s,,
974,NA,1998,6,3,f,n,f1056,s,,
975,NA,1989,15,4,m,n,f1057,s,,
975,NA,1991,14,4,m,n,f1058,s,,
976,NA,1979,25,6,m,n,f1059,s,,
731,NA,1960,44,7,m,s,f1060,s,,
212,NA,1964,40,7,f,n,f1070,s,,
212,NA,2001,3,2,f,n,f1074,s,,
735,NA,1967,37,7,m,n,f1076,NA,,
735,NA,1988,16,5,f,n,f1079,NA,,
741,NA,1959,45,7,f,s,f1090,s,,
3040,NA,1987,17,5,m,n,f1091,s,,
741,NA,1990,14,4,f,n,f1092,s,,
741,NA,1994,11,4,m,n,f1093,s,,
742,NA,1980,24,6,f,n,f1095,s,,
742,NA,2001,4,2,m,n,f1096,s,,
1103,NA,2003,1,1,m,s,f1101,n,,
1210,NA,1959,45,7,m,s,f1102,n,,
748,NA,1944,61,7,m,n,f1105,s,,
748,NA,1961,44,7,f,n,f1106,s,,
3022,NA,1988,16,5,m,n,f1107,s,,
3022,NA,1991,14,4,f,n,f1108,s,,
3022,NA,1996,9,3,m,n,f1109,s,,
997,NA,1990,14,4,m,n,f1110,s,,
3031,NA,1948,57,7,m,n,f1110,s,,
3028,NA,1944,61,7,m,n,f1113,s,,
3028,NA,2001,3,2,f,n,f1115,s,,
3029,NA,1987,17,5,f,n,f1116,s,,
760,NA,1949,56,7,m,s,f1122,s,,
762,NA,1949,56,7,m,s,f1122,s,,
770,NA,1949,56,7,m,s,f1122,s,,
1326,NA,2002,2,1,f,s,f1123,s,,
770,NA,1961,44,7,f,s,f1123,s,,
760,NA,2001,3,2,f,s,f1128,s,,
770,NA,1977,27,6,f,s,f1129,s,,
763,NA,1948,57,7,m,n,f1134,s,,
763,NA,1998,6,3,f,n,f1136,s,,
764,NA,1968,36,7,f,n,f1137,s,,
762,NA,1982,23,6,f,n,f1146,s,,
3014,NA,1985,20,5,m,s,f1148,s,,
774,NA,1949,45,7,f,n,f1153,s,,
774,NA,1979,25,6,f,n,f1154,s,,
774,NA,1986,19,5,f,n,f1155,s,,
